Dataset,Sample_Date_[dd/mm/yyyy],Time_[hh:mm:ss],Latitude_[degN],Longitude_[degE],Temperature_[degC],CTD_TMP_WOCE_FLAG,CTD_Pressure_[dbar],Depth_From_Pressure_[meters_below_surface],Sample_Depth_[meters_below_surface],combined_depth_[meters_below_surface],DELO18_[permillle],DELO18_WOCE_FLAG_Translated,DELO18_WOCE_FLAG_Original,O18_Standard,CTD_Salinity_[standard_salinity_units],CTD_SAL_WOCE_FLAG,Bottle_Salinity_[standard_salinity_units],BTL_SAL_WOCE_FLAG,Cruise_ID,Station_ID_Name,Site_Number_Name,Sample_ID,CASTNO,BTLNBR,Event,Rosette_Position,Platform,BIOPOLE,Freshwater,Freshwater_Source,LAND_BASED,u,v
ArcticNet,09/06/2016,17:25:00,68.4975,-56.7956,3.8784,,362.852,358.8961106,,358.8961106,0.42,2,2,VSMOW,34.6219,,34.633,2,1601,G100,,,3,1,,,,FALSE,FALSE,,FALSE,,
ArcticNet,09/06/2016,17:33:00,68.4975,-56.7951,-0.9372,,60.178,59.56551994,,59.56551994,-0.24,6,6,VSMOW,33.7826,,33.787,2,1601,G100,,,3,6,,,,FALSE,FALSE,,FALSE,0.00199521,-0.009400031
ArcticNet,09/06/2016,17:34:00,68.4975,-56.7948,-1.5417,,50.106,49.59724255,,49.59724255,-0.22,3,3,VSMOW,33.6925,,33.6964,2,1601,G100,,,3,7,,,,FALSE,FALSE,,FALSE,0.00102716,-0.011235552
ArcticNet,09/06/2016,17:38:00,68.4973,-56.794,-0.974,,39.998,39.59284682,,39.59284682,-0.17,3,3,VSMOW,33.5913,,33.6109,2,1601,G100,,,3,11,,,,FALSE,FALSE,,FALSE,-4.29E-05,-0.013052178
ArcticNet,09/06/2016,17:40:00,68.4973,-56.7936,0.5214,,30.177,29.87203892,,29.87203892,-0.35,3,3,VSMOW,33.5408,,33.5556,2,1601,G100,,,3,13,,,,FALSE,FALSE,,FALSE,-0.000978148,-0.014658544
ArcticNet,09/06/2016,17:42:00,68.4974,-56.7933,0.7898,,20.543,20.33587303,,20.33587303,-0.34,2,2,VSMOW,33.4997,,33.5146,2,1601,G100,,,3,15,,,,FALSE,FALSE,,FALSE,-0.001665538,-0.016281769
ArcticNet,09/06/2016,17:44:00,68.4974,-56.793,0.7737,,10.42,10.31519272,,10.31519272,-0.09,2,2,VSMOW,33.4989,,33.5133,2,1601,G100,,,3,17,,,,FALSE,FALSE,,FALSE,-0.002312692,-0.01670038
ArcticNet,09/06/2016,17:47:00,68.4974,-56.7926,0.8105,,1.914,1.894787582,,1.894787582,-0.29,2,2,VSMOW,33.4983,,33.5118,2,1601,G100,,,3,21,,,,FALSE,FALSE,,FALSE,-0.005807928,-0.020610096
ArcticNet,10/06/2016,08:09:00,68.4954,-57.1305,3.8872,,364.325,360.351819,,360.351819,0.3,2,2,VSMOW,34.6448,,34.6561,2,1601,G101,,,5,1,,,,FALSE,FALSE,,FALSE,,
ArcticNet,10/06/2016,08:12:00,68.4952,-57.1295,3.8008,,301.49,298.2473026,,298.2473026,0.33,2,2,VSMOW,34.6178,,34.631,2,1601,G101,,,5,3,,,,FALSE,FALSE,,FALSE,0.002855893,0.002053926
ArcticNet,10/06/2016,08:15:00,68.4947,-57.1291,3.5212,,252.157,249.4746476,,249.4746476,0.22,2,2,VSMOW,34.5277,,34.5391,2,1601,G101,,,5,5,,,,FALSE,FALSE,,FALSE,0.00276615,0.001561459
ArcticNet,10/06/2016,08:18:00,68.4944,-57.1285,3.2422,,201.276,199.1594074,,199.1594074,0.17,3,3,VSMOW,34.4401,,34.4519,2,1601,G101,,,5,7,,,,FALSE,FALSE,,FALSE,0.003154399,0.001026244
ArcticNet,10/06/2016,08:22:00,68.4939,-57.1273,1.2442,,151.89,150.310715,,150.310715,-0.18,3,3,VSMOW,34.1014,,34.1182,2,1601,G101,,,5,11,,,,FALSE,FALSE,,FALSE,0.003912805,-0.000480153
ArcticNet,10/06/2016,08:26:00,68.4937,-57.126,-0.6733,,101.181,100.1412672,,100.1412672,-0.35,2,2,VSMOW,33.8212,,33.8364,2,1601,G101,,,5,13,,,,FALSE,FALSE,,FALSE,0.004156865,-0.004192965
ArcticNet,10/06/2016,08:28:00,68.4936,-57.1254,-1.5941,,80.712,79.88657038,,79.88657038,-0.4,2,2,VSMOW,33.6745,,33.6894,2,1601,G101,,,5,14,,,,FALSE,FALSE,,FALSE,0.004111518,-0.00663354
ArcticNet,10/06/2016,08:30:00,68.4936,-57.1248,-1.5801,,70.854,70.13106306,,70.13106306,-0.21,2,2,VSMOW,33.6079,,33.6209,2,1601,G101,,,5,15,,,,FALSE,FALSE,,FALSE,0.003825542,-0.00808237
ArcticNet,10/06/2016,08:32:00,68.4935,-57.1245,-1.6663,,60.294,59.68033757,,59.68033757,0.1,2,2,VSMOW,33.564,,33.5789,2,1601,G101,,,5,16,,,,FALSE,FALSE,,FALSE,0.003516071,-0.009675536
ArcticNet,10/06/2016,08:34:00,68.4932,-57.1243,-1.2739,,50.231,49.72097175,,49.72097175,-0.14,2,2,VSMOW,33.4945,,33.5134,2,1601,G101,,,5,17,,,,FALSE,FALSE,,FALSE,0.003113102,-0.011279154
ArcticNet,10/06/2016,08:35:00,68.493,-57.124,0.2491,,40.227,39.81951587,,39.81951587,-0.46,2,2,VSMOW,33.4588,,33.474,2,1601,G101,,,5,18,,,,FALSE,FALSE,,FALSE,0.00271056,-0.012808009
ArcticNet,10/06/2016,08:37:00,68.4928,-57.1234,0.3606,,30.186,29.88095579,,29.88095579,-0.19,3,3,VSMOW,33.4603,,33.4722,2,1601,G101,,,5,19,,,,FALSE,FALSE,,FALSE,0.002278128,-0.01421506
ArcticNet,10/06/2016,08:39:00,68.4926,-57.1231,0.3632,,20.419,20.21313548,,20.21313548,-0.02,2,2,VSMOW,33.4603,,33.4728,2,1601,G101,,,5,20,,,,FALSE,FALSE,,FALSE,0.002016152,-0.015526843
ArcticNet,10/06/2016,08:41:00,68.4924,-57.123,0.3632,,10.136,10.03405936,,10.03405936,-0.17,3,3,VSMOW,33.4604,,33.4727,2,1601,G101,,,5,21,,,,FALSE,FALSE,,FALSE,0.001746241,-0.015654356
ArcticNet,10/06/2016,08:43:00,68.4921,-57.1231,0.3605,,2.043,2.022492744,,2.022492744,-0.08,2,2,VSMOW,33.4602,,33.9599,3,1601,G101,,,5,24,,,,FALSE,FALSE,,FALSE,-0.001800791,-0.018702935
ArcticNet,11/06/2016,03:50:00,68.4986,-57.639,3.7763,,358.66,354.7533755,,354.7533755,-0.06,2,2,VSMOW,34.5928,,34.6033,2,1601,G103,,,9,1,,,,FALSE,FALSE,,FALSE,,
ArcticNet,11/06/2016,03:53:00,68.4986,-57.6383,3.6056,,300.759,297.5246264,,297.5246264,0.38,2,2,VSMOW,34.5521,,34.5628,2,1601,G103,,,9,3,,,,FALSE,FALSE,,FALSE,0.001821324,-0.002396815
ArcticNet,11/06/2016,03:56:00,68.4985,-57.6376,3.1178,,251.003,248.3335566,,248.3335566,0.22,2,2,VSMOW,34.4571,,34.4662,6,1601,G103,,,9,4,,,,FALSE,FALSE,,FALSE,0.001994507,-0.002466577
ArcticNet,11/06/2016,04:04:00,68.4979,-57.6343,1.7211,,151.024,149.453995,,149.453995,-0.02,2,2,VSMOW,34.1809,,34.1939,2,1601,G103,,,9,10,,,,FALSE,FALSE,,FALSE,0.003580147,-0.006264119
ArcticNet,11/06/2016,04:09:00,68.4975,-57.6325,-1.1078,,100.208,99.17847587,,99.17847587,-0.36,2,2,VSMOW,33.7553,,33.7688,2,1601,G103,,,9,12,,,,FALSE,FALSE,,FALSE,0.004558473,-0.010218316
ArcticNet,11/06/2016,04:11:00,68.4973,-57.6315,-1.5438,,80.647,79.82222909,,79.82222909,-0.49,2,2,VSMOW,33.6253,,33.6381,2,1601,G103,,,9,13,,,,FALSE,FALSE,,FALSE,0.00498925,-0.012192246
ArcticNet,11/06/2016,04:13:00,68.4973,-57.6303,-1.1655,,70.175,69.45908919,,69.45908919,-0.53,2,2,VSMOW,33.504,,33.5183,2,1601,G103,,,9,14,,,,FALSE,FALSE,,FALSE,0.005373948,-0.013301355
ArcticNet,11/06/2016,04:15:00,68.4972,-57.6294,-0.1242,,60.213,59.60015979,,59.60015979,-0.64,2,2,VSMOW,33.4431,,33.4567,2,1601,G103,,,9,15,,,,FALSE,FALSE,,FALSE,0.005701485,-0.014357777
ArcticNet,11/06/2016,04:17:00,68.497,-57.6288,-0.1241,,50.085,49.57645986,,49.57645986,-0.42,2,2,VSMOW,33.4436,,33.4552,2,1601,G103,,,9,16,,,,FALSE,FALSE,,FALSE,0.00602428,-0.015431224
ArcticNet,11/06/2016,04:19:00,68.4971,-57.6279,-0.0774,,40.002,39.59680642,,39.59680642,-0.34,2,2,VSMOW,33.4478,,33.4581,2,1601,G103,,,9,18,,,,FALSE,FALSE,,FALSE,0.006294809,-0.01645243
ArcticNet,11/06/2016,04:20:00,68.4971,-57.6269,-0.0309,,30.206,29.90074413,,29.90074413,-0.36,6,6,VSMOW,33.4498,,33.4614,6,1601,G103,,,9,19,,,,FALSE,FALSE,,FALSE,0.006397725,-0.017456585
ArcticNet,11/06/2016,04:22:00,68.497,-57.6259,-0.021,,19.903,19.702357,,19.702357,-0.1,2,2,VSMOW,33.4529,,,9,1601,G103,,,9,20,,,,FALSE,FALSE,,FALSE,0.006702972,-0.018329004
ArcticNet,11/06/2016,04:24:00,68.4969,-57.6249,-0.0171,,10.152,10.0498952,,10.0498952,-0.24,2,2,VSMOW,33.4521,,,9,1601,G103,,,9,21,,,,FALSE,FALSE,,FALSE,0.006965378,-0.018045495
ArcticNet,11/06/2016,04:26:00,68.4967,-57.6238,-0.0219,,2.019,1.998733188,,1.998733188,-0.35,2,2,VSMOW,33.4513,,,9,1601,G103,,,9,24,,,,FALSE,FALSE,,FALSE,0.003107288,-0.019919662
ArcticNet,11/06/2016,12:45:00,68.4975,-58.8247,3.5542,,315.227,311.8261649,,311.8261649,0.05,2,2,VSMOW,34.5838,,34.6073,2,1601,G106,,,11,1,,,,FALSE,FALSE,,FALSE,,
ArcticNet,11/06/2016,12:47:00,68.4972,-58.8247,3.5562,,301.059,297.8212107,,297.8212107,0.03,2,2,VSMOW,34.5843,,34.5971,2,1601,G106,,,11,3,,,,FALSE,FALSE,,FALSE,0.000771063,-0.005685317
ArcticNet,11/06/2016,12:50:00,68.4966,-58.8249,3.4655,,250.811,248.1437434,,248.1437434,0.22,2,2,VSMOW,34.563,,34.573,9,1601,G106,,,11,5,,,,FALSE,FALSE,,FALSE,-0.000727693,-0.014093258
ArcticNet,11/06/2016,12:52:00,68.4959,-58.825,3.0892,,200.458,198.3503832,,198.3503832,0.23,2,2,VSMOW,34.4381,,34.4552,6,1601,G106,,,11,7,,,,FALSE,FALSE,,FALSE,-0.001343363,-0.017557612
ArcticNet,11/06/2016,12:57:00,68.4945,-58.8256,2.4711,,155.437,153.8195079,,153.8195079,0.01,2,2,VSMOW,34.2771,,34.2858,2,1601,G106,,,11,11,,,,FALSE,FALSE,,FALSE,-0.00201325,-0.02242011
ArcticNet,11/06/2016,13:02:00,68.493,-58.8268,0.6835,,100.69,99.65543571,,99.65543571,-0.47,2,2,VSMOW,33.9754,,34.0019,2,1601,G106,,,11,13,,,,FALSE,FALSE,,FALSE,-0.003121307,-0.031403098
ArcticNet,11/06/2016,13:04:00,68.4923,-58.8274,-0.1924,,80.813,79.98652444,,79.98652444,-0.45,2,2,VSMOW,33.8533,,33.8838,2,1601,G106,,,11,14,,,,FALSE,FALSE,,FALSE,-0.003628827,-0.035807104
ArcticNet,11/06/2016,13:05:00,68.4918,-58.8277,-0.7873,,70.348,69.63031921,,69.63031921,-0.54,2,2,VSMOW,33.7736,,33.7938,2,1601,G106,,,11,15,,,,FALSE,FALSE,,FALSE,-0.003896073,-0.038329896
ArcticNet,11/06/2016,13:07:00,68.4913,-58.828,-1.2951,,60.612,59.99506307,,59.99506307,-0.39,2,2,VSMOW,33.6997,,33.7318,2,1601,G106,,,11,16,,,,FALSE,FALSE,,FALSE,-0.004119405,-0.040753691
ArcticNet,11/06/2016,13:09:00,68.4908,-58.8281,-1.6381,,50.509,49.99612288,,49.99612288,-0.39,2,2,VSMOW,33.6483,,33.6682,6,1601,G106,,,11,17,,,,FALSE,FALSE,,FALSE,-0.004333415,-0.043173126
ArcticNet,11/06/2016,13:11:00,68.4903,-58.8282,-1.7244,,40.464,40.05409894,,40.05409894,-0.34,2,2,VSMOW,33.6003,,33.6213,2,1601,G106,,,11,18,,,,FALSE,FALSE,,FALSE,-0.004558041,-0.045362155
ArcticNet,11/06/2016,13:12:00,68.4899,-58.8284,-1.6823,,30.518,30.20958196,,30.20958196,-0.68,2,2,VSMOW,33.5251,,33.5453,2,1601,G106,,,11,19,,,,FALSE,FALSE,,FALSE,-0.004852491,-0.047260352
ArcticNet,11/06/2016,13:14:00,68.4894,-58.8285,-1.6148,,20.377,20.17156505,,20.17156505,-0.43,2,2,VSMOW,33.1221,,33.2439,2,1601,G106,,,11,20,,,,FALSE,FALSE,,FALSE,-0.004853277,-0.049024179
ArcticNet,11/06/2016,13:16:00,68.4889,-58.8287,-1.559,,10.453,10.34786552,,10.34786552,-0.26,2,2,VSMOW,32.7698,,32.7802,2,1601,G106,,,11,21,,,,FALSE,FALSE,,FALSE,-0.004237154,-0.049337999
ArcticNet,11/06/2016,13:19:00,68.4881,-58.8291,-1.5462,,1.117,1.105790526,,1.105790526,-0.31,2,2,VSMOW,32.7451,,32.7619,2,1601,G106,,,11,24,,,,FALSE,FALSE,,FALSE,-0.006840264,-0.048535826
