Dataset,year,time,lat,lon,temp,CTD_TMP_WOCE_FLAG,CTD_Pressure_[dbar],Depth_From_Pressure_[meters_below_surface],Sample_Depth_[meters_below_surface],depth,oxy18,DELO18_WOCE_FLAG_Translated,DELO18_WOCE_FLAG_Original,O18_Standard,salinity,CTD_SAL_WOCE_FLAG,Bottle_Salinity_[standard_salinity_units],BTL_SAL_WOCE_FLAG,Cruise_ID,Station_ID_Name,Site_Number_Name,Sample_ID,CASTNO,BTLNBR,Event,Rosette_Position,Platform,BIOPOLE,Freshwater,Freshwater_Source,LAND_BASED,u,v
ArcticNet,09/06/2016,17:25:00,68.4975,-56.7956,3.8784,,362.852,358.8961106,,358.8961106,0.42,2.0,2,VSMOW,34.6219,,34.633,2.0,1601,G100,,,3.0,1.0,,,,False,False,,False,,
ArcticNet,09/06/2016,17:33:00,68.4975,-56.7951,-0.9372,,60.178,59.56551994,,59.56551994,-0.24,6.0,6,VSMOW,33.7826,,33.787,2.0,1601,G100,,,3.0,6.0,,,,False,False,,False,0.001995210487294768,-0.009400031388637846
ArcticNet,09/06/2016,17:34:00,68.4975,-56.7948,-1.5417,,50.106,49.59724255,,49.59724255,-0.22,3.0,3,VSMOW,33.6925,,33.6964,2.0,1601,G100,,,3.0,7.0,,,,False,False,,False,0.0010271596132423503,-0.011235551697614421
ArcticNet,09/06/2016,17:38:00,68.4973,-56.794,-0.974,,39.998,39.59284682,,39.59284682,-0.17,3.0,3,VSMOW,33.5913,,33.6109,2.0,1601,G100,,,3.0,11.0,,,,False,False,,False,-4.2854885527999235e-05,-0.01305217848141976
ArcticNet,09/06/2016,17:40:00,68.4973,-56.7936,0.5214,,30.177,29.87203892,,29.87203892,-0.35,3.0,3,VSMOW,33.5408,,33.5556,2.0,1601,G100,,,3.0,13.0,,,,False,False,,False,-0.0009781475578857293,-0.014658543557636699
ArcticNet,09/06/2016,17:42:00,68.4974,-56.7933,0.7898,,20.543,20.33587303,,20.33587303,-0.34,2.0,2,VSMOW,33.4997,,33.5146,2.0,1601,G100,,,3.0,15.0,,,,False,False,,False,-0.001665538094539388,-0.01628176918307894
ArcticNet,09/06/2016,17:44:00,68.4974,-56.793,0.7737,,10.42,10.31519272,,10.31519272,-0.09,2.0,2,VSMOW,33.4989,,33.5133,2.0,1601,G100,,,3.0,17.0,,,,False,False,,False,-0.0023126917643498095,-0.01670038004049969
ArcticNet,09/06/2016,17:47:00,68.4974,-56.7926,0.8105,,1.914,1.894787582,,1.894787582,-0.29,2.0,2,VSMOW,33.4983,,33.5118,2.0,1601,G100,,,3.0,21.0,,,,False,False,,False,-0.00580792834987442,-0.02061009625652721
ArcticNet,10/06/2016,08:09:00,68.4954,-57.1305,3.8872,,364.325,360.351819,,360.351819,0.3,2.0,2,VSMOW,34.6448,,34.6561,2.0,1601,G101,,,5.0,1.0,,,,False,False,,False,,
ArcticNet,10/06/2016,08:12:00,68.4952,-57.1295,3.8008,,301.49,298.2473026,,298.2473026,0.33,2.0,2,VSMOW,34.6178,,34.631,2.0,1601,G101,,,5.0,3.0,,,,False,False,,False,0.0028558931041288717,0.0020539264241120755
ArcticNet,10/06/2016,08:15:00,68.4947,-57.1291,3.5212,,252.157,249.4746476,,249.4746476,0.22,2.0,2,VSMOW,34.5277,,34.5391,2.0,1601,G101,,,5.0,5.0,,,,False,False,,False,0.0027661497661434797,0.0015614586255420543
ArcticNet,10/06/2016,08:18:00,68.4944,-57.1285,3.2422,,201.276,199.1594074,,199.1594074,0.17,3.0,3,VSMOW,34.4401,,34.4519,2.0,1601,G101,,,5.0,7.0,,,,False,False,,False,0.0031543991516355466,0.0010262437720150422
ArcticNet,10/06/2016,08:22:00,68.4939,-57.1273,1.2442,,151.89,150.310715,,150.310715,-0.18,3.0,3,VSMOW,34.1014,,34.1182,2.0,1601,G101,,,5.0,11.0,,,,False,False,,False,0.003912804861605475,-0.00048015339434475003
