//<Encoding>UTF-8</Encoding>
//<Version>ODV Data Blob v1 - Data Window</Version>
//<Creator>rschlitz@awi-009603</Creator>
//<CreateTime>2025-11-13T13:38:38</CreateTime>
//<Software>Web Ocean Data View 5.8.3 - web_server: 45 - 64 bit (Linux)</Software>
//<Source>GLODAPv2.2023.odv</Source>
//<SourceLastModified>2024-04-22T21:05:16</SourceLastModified>
//<View>FullScreenMap</View>
//<WindowId>1</WindowId>
//<DataField>Ocean</DataField>
//<DataType>Profiles</DataType>
//<Description>Hydrographic and carbon data for the global ocean (GLODAP version v2.2023)</Description>
//
//<DataVariable>label="SALNTY [PSS-78]" value_type="FLOAT" qf_schema="WOCEBOTTLE" significant_digits="3" is_primary_variable="F" comment="" key_variable="Practical Salinity [psu]"</DataVariable>
//<DataVariable>label="O18/O16 [/MILLE]" value_type="FLOAT" qf_schema="WOCEBOTTLE" significant_digits="3" is_primary_variable="F" comment="" key_variable=""</DataVariable>
//<DataVariable>label="TEMPERATURE [DEG C]" value_type="FLOAT" qf_schema="ODV" significant_digits="3" is_primary_variable="F" comment="" key_variable="Temperature [degC]"</DataVariable>
//
SALNTY [PSS-78],O18/O16 [/MILLE],TEMPERATURE [DEG C],Station,Sample ID:INTEGER,Longitude [degrees East],Latitude [degrees North],yyyy-mm-ddThh:mm:ss.sss
34.098999,0.250000,-1.657600,33,1,31.40300,81.27200,1987-07-07T17:29:59
34.102001,0.110000,-1.663600,33,2,31.40300,81.27200,1987-07-07T17:29:59
34.151001,0.240000,-1.642600,33,3,31.40300,81.27200,1987-07-07T17:29:59
34.453999,0.140000,-1.134700,33,4,31.40300,81.27200,1987-07-07T17:29:59
34.675999,0.270000,-0.451900,33,6,31.40300,81.27200,1987-07-07T17:29:59
34.734001,0.240000,-0.124000,33,8,31.40300,81.27200,1987-07-07T17:29:59
34.743999,0.190000,-0.174000,33,9,31.40300,81.27200,1987-07-07T17:29:59
34.751999,0.270000,-0.191000,33,10,31.40300,81.27200,1987-07-07T17:29:59
34.757999,0.140000,-0.197000,33,12,31.40300,81.27200,1987-07-07T17:29:59
34.764000,0.240000,-0.175000,33,15,31.40300,81.27200,1987-07-07T17:29:59
34.768002,0.220000,-0.137000,33,23,31.40300,81.27200,1987-07-07T17:29:59
34.193001,0.220000,-1.697600,39,2,31.50200,81.64500,1987-07-09T21:25:00
34.557999,0.250000,-0.624800,39,3,31.50200,81.64500,1987-07-09T21:25:00
34.786999,0.210000,0.872800,39,6,31.50200,81.64500,1987-07-09T21:25:00
34.903999,0.270000,1.465600,39,8,31.50200,81.64500,1987-07-09T21:25:00
