time,monthly_diff,monthly_trend,annual_mean,annual_trend
1991-01-01,2303008.5,2231175.075089069,,
1991-02-01,2091066.8,2231628.0859161504,,
1991-03-01,1629879.5,2232081.0967432354,,
1991-04-01,1933069.0,2232534.1075703185,,
1991-05-01,1792169.5,2232987.1183974,,
1991-06-01,2235759.8,2233440.129224485,,
1991-07-01,2699222.8,2233893.140051566,,
1991-08-01,2842825.2,2234346.150878649,,
1991-09-01,2222215.2,2234799.161705734,,
1991-10-01,2319965.8,2235252.1725328155,,
1991-11-01,2157465.8,2235705.1833598986,,
1991-12-01,2586596.0,2236158.194186982,,
1991-12-31,,,2234437.0,2236101.1214285744
1992-01-01,2591401.8,2236611.205014065,,
1992-02-01,2475905.5,2237064.215841148,,
1992-03-01,1946187.4,2237517.226668231,,
1992-04-01,1850068.1,2237970.2374953143,,
1992-05-01,2186140.0,2238423.2483223975,,
1992-06-01,2523126.2,2238876.2591494806,,
1992-07-01,2604573.5,2239329.2699765638,,
1992-08-01,3024695.5,2239782.280803645,,
1992-09-01,2605939.8,2240235.29163073,,
1992-10-01,2096430.0,2240688.302457813,,
1992-11-01,2428079.5,2241141.3132848945,,
1992-12-01,2340636.5,2241594.3241119795,,
1992-12-31,,,2389431.8,2241421.99201681
1993-01-01,2533819.0,2242047.3349390607,,
1993-02-01,2059040.2,2242500.345766144,,
1993-03-01,2138730.5,2242953.356593229,,
1993-04-01,2067669.2,2243406.36742031,,
1993-05-01,2010809.2,2243859.3782473933,,
1993-06-01,2474040.0,2244312.3890744764,,
1993-07-01,2619240.5,2244765.3999015596,,
1993-08-01,2870409.8,2245218.4107286427,,
1993-09-01,2473052.0,2245671.421555726,,
1993-10-01,2320488.8,2246124.432382809,,
1993-11-01,3260185.2,2246577.443209892,,
1993-12-01,2155331.2,2247030.4540369753,,
1993-12-31,,,2415234.8,2246742.8626050455
1994-01-01,1571370.6,2247483.4648640584,,
1994-02-01,2031814.4,2247936.4756911416,,
1994-03-01,1993782.4,2248389.4865182247,,
1994-04-01,1783899.2,2248842.497345308,,
1994-05-01,2126767.2,2249295.508172389,,
1994-06-01,2570525.8,2249748.518999474,,
1994-07-01,2767711.5,2250201.5298265573,,
1994-08-01,2637254.0,2250654.5406536385,,
1994-09-01,2324422.5,2251107.5514807235,,
1994-10-01,2241733.5,2251560.562307805,,
1994-11-01,2668091.5,2252013.573134888,,
1994-12-01,2908713.8,2252466.583961971,,
1994-12-31,,,2302173.8,2252063.7331932792
1995-01-01,2279834.0,2252919.5947890542,,
1995-02-01,2188913.5,2253372.6056161374,,
1995-03-01,2008648.4,2253825.6164432205,,
1995-04-01,1807101.1,2254278.6272703037,,
1995-05-01,2152398.8,2254731.638097387,,
1995-06-01,2681529.8,2255184.64892447,,
1995-07-01,2872978.2,2255637.659751553,,
1995-08-01,2970834.5,2256090.670578636,,
1995-09-01,2577982.8,2256543.6814057194,,
1995-10-01,2433904.5,2256996.6922328025,,
1995-11-01,2504757.5,2257449.703059884,,
1995-12-01,2741592.2,2257902.713886969,,
1995-12-31,,,2435039.8,2257384.603781515
1996-01-01,2687864.0,2258355.724714052,,
1996-02-01,2316685.8,2258808.735541133,,
1996-03-01,2280979.8,2259261.746368218,,
1996-04-01,2262567.2,2259714.7571952995,,
1996-05-01,2151613.5,2260167.7680223826,,
1996-06-01,2675332.0,2260620.7788494676,,
1996-07-01,2851132.8,2261073.789676549,,
1996-08-01,2594651.2,2261526.800503632,,
1996-09-01,2193495.5,2261979.811330715,,
1996-10-01,2123891.8,2262432.8221577983,,
1996-11-01,2228868.8,2262885.8329848815,,
1996-12-01,2200365.2,2263338.8438119646,,
1996-12-31,,,2380620.8,2262705.4743697504
1997-01-01,2171890.5,2263791.8546390478,,
1997-02-01,2385976.8,2264244.865466131,,
1997-03-01,2047189.6,2264697.876293214,,
1997-04-01,1899307.2,2265150.887120297,,
1997-05-01,1987509.2,2265603.8979473803,,
1997-06-01,2281061.8,2266056.9087744635,,
1997-07-01,2563218.5,2266509.9196015466,,
1997-08-01,2706455.0,2266962.930428628,,
1997-09-01,1944449.0,2267415.941255713,,
1997-10-01,1797492.2,2267868.952082794,,
1997-11-01,2061012.4,2268321.9629098773,,
1997-12-01,2182118.0,2268774.9737369623,,
