time,monthly_diff,monthly_trend,annual_mean,annual_trend
1991-01-01,-12586.967,-25599.76332132102,,
1991-02-01,-5570.3853,-25604.32114921912,,
1991-03-01,-8071.7056,-25608.87897711723,,
1991-04-01,-2578.413,-25613.436805015328,,
1991-05-01,-4124.396,-25617.994632913425,,
1991-06-01,-35814.453,-25622.552460811523,,
1991-07-01,-49024.06,-25627.11028870962,,
1991-08-01,-43087.453,-25631.668116607718,,
1991-09-01,-56469.574,-25636.22594450583,,
1991-10-01,-33076.492,-25640.783772403927,,
1991-11-01,-36070.91,-25645.34160030201,,
1991-12-01,-10506.756,-25649.899428200122,,
1991-12-31,,,-24748.463,-26243.11682245162
1992-01-01,-8463.302,-25654.45725609822,,
1992-02-01,97.58203,-25659.015083996317,,
1992-03-01,-5356.1045,-25663.572911894415,,
1992-04-01,-7997.4873,-25668.130739792512,,
1992-05-01,11410.104,-25672.68856769061,,
1992-06-01,-51551.836,-25677.24639558872,,
1992-07-01,-69024.05,-25681.80422348682,,
1992-08-01,-26589.14,-25686.362051384916,,
1992-09-01,-17793.318,-25690.919879283014,,
1992-10-01,-48634.293,-25695.47770718111,,
1992-11-01,-23267.66,-25700.03553507921,,
1992-12-01,-23085.799,-25704.59336297732,,
1992-12-31,,,-22521.275,-26255.657333519328
1993-01-01,-12331.962,-25709.151190875404,,
1993-02-01,-11719.094,-25713.7090187735,,
1993-03-01,-8644.959,-25718.266846671613,,
1993-04-01,-6157.5605,-25722.82467456971,,
1993-05-01,-13558.777,-25727.382502467808,,
1993-06-01,-63841.348,-25731.940330365906,,
1993-07-01,-45535.598,-25736.498158264003,,
1993-08-01,-46874.89,-25741.0559861621,,
1993-09-01,-34227.383,-25745.613814060212,,
1993-10-01,-46536.42,-25750.17164195831,,
1993-11-01,-25331.662,-25754.729469856393,,
1993-12-01,-14539.06,-25759.287297754505,,
1993-12-31,,,-27441.56,-26268.197844587037
1994-01-01,-9494.789,-25763.845125652602,,
1994-02-01,-4059.2534,-25768.4029535507,,
1994-03-01,-12648.623,-25772.960781448797,,
1994-04-01,-4755.0176,-25777.518609346895,,
1994-05-01,8121.7476,-25782.076437244992,,
1994-06-01,-29910.62,-25786.634265143104,,
1994-07-01,-64779.758,-25791.1920930412,,
1994-08-01,-39265.63,-25795.7499209393,,
1994-09-01,-52167.848,-25800.307748837397,,
1994-10-01,-50329.746,-25804.865576735494,,
1994-11-01,1381.9934,-25809.42340463359,,
1994-12-01,-7350.6035,-25813.981232531703,,
1994-12-31,,,-22104.846,-26280.738355654747
1995-01-01,-2259.374,-25818.539060429786,,
1995-02-01,4015.5425,-25823.096888327884,,
1995-03-01,2417.4329,-25827.654716225996,,
1995-04-01,-3031.8545,-25832.212544124093,,
1995-05-01,-3811.5527,-25836.77037202219,,
1995-06-01,-54795.387,-25841.328199920288,,
1995-07-01,-59490.305,-25845.886027818386,,
1995-08-01,-58055.266,-25850.443855716483,,
1995-09-01,-51679.816,-25855.001683614595,,
1995-10-01,-34624.867,-25859.559511512693,,
1995-11-01,-55387.258,-25864.117339410775,,
1995-12-01,-25475.674,-25868.675167308887,,
1995-12-31,,,-28514.865,-26293.278866722456
1996-01-01,-4914.158,-25873.232995206985,,
1996-02-01,-8136.632,-25877.790823105082,,
1996-03-01,-6443.917,-25882.34865100318,,
1996-04-01,-13768.494,-25886.906478901277,,
1996-05-01,-44418.805,-25891.464306799375,,
1996-06-01,-48833.25,-25896.022134697487,,
1996-07-01,-44737.348,-25900.579962595584,,
1996-08-01,-57000.402,-25905.137790493667,,
1996-09-01,-29144.021,-25909.69561839178,,
1996-10-01,-31255.828,-25914.253446289877,,
1996-11-01,-35098.5,-25918.811274187974,,
1996-12-01,-15380.507,-25923.369102086086,,
1996-12-31,,,-28260.99,-26305.819377790165
1997-01-01,-12967.762,-25927.92692998417,,
1997-02-01,-4227.6123,-25932.484757882266,,
1997-03-01,-5961.967,-25937.04258578038,,
1997-04-01,-4014.69,-25941.600413678476,,
1997-05-01,-34355.32,-25946.158241576573,,
1997-06-01,-67454.59,-25950.71606947467,,
1997-07-01,-63861.445,-25955.27389737277,,
1997-08-01,-31614.553,-25959.831725270866,,
1997-09-01,-47407.19,-25964.389553168978,,
1997-10-01,-41404.477,-25968.94738106706,,
1997-11-01,-16850.756,-25973.505208965158,,
1997-12-01,-17844.934,-25978.06303686327,,
1997-12-31,,,-28997.107,-26318.359888857874
1998-01-01,-16208.014,-25982.620864761368,,
1998-02-01,-8656.412,-25987.178692659465,,
1998-03-01,-7400.107,-25991.736520557562,,
1998-04-01,-2790.996,-25996.29434845566,,
1998-05-01,8210.789,-26000.852176353757,,
1998-06-01,-34556.184,-26005.41000425187,,
1998-07-01,-54336.336,-26009.967832149967,,
1998-08-01,-74289.08,-26014.52566004805,,
1998-09-01,-69749.53,-26019.08348794616,,
1998-10-01,-56448.055,-26023.64131584426,,
1998-11-01,-39263.555,-26028.199143742357,,
