time,monthly_diff,monthly_trend,annual_mean,annual_trend
1991-01-01,4156157.5,2736023.4404868595,,
1991-02-01,3167990.2,2735540.3333333656,,
1991-03-01,2942942.5,2735057.22617987,,
1991-04-01,3454045.0,2734574.119026376,,
1991-05-01,2675497.0,2734091.011872882,,
1991-06-01,2157089.5,2733607.9047193862,,
1991-07-01,1709249.8,2733124.7975658923,,
1991-08-01,2061913.9,2732641.6904123984,,
1991-09-01,2086768.4,2732158.5832589027,,
1991-10-01,1958863.0,2731675.4761054087,,
1991-11-01,1917171.5,2731192.368951915,,
1991-12-01,3295544.8,2730709.261798419,,
1991-12-31,,,2631936.0,2723405.9107142836
1992-01-01,4356709.0,2730226.154644925,,
1992-02-01,3489904.0,2729743.0474914312,,
1992-03-01,3790155.5,2729259.9403379355,,
1992-04-01,2063505.5,2728776.8331844416,,
1992-05-01,3059518.0,2728293.7260309476,,
1992-06-01,2553798.0,2727810.618877452,,
1992-07-01,2248982.0,2727327.511723958,,
1992-08-01,2052099.0,2726844.404570464,,
1992-09-01,2529675.2,2726361.2974169683,,
1992-10-01,1956293.2,2725878.1902634744,,
1992-11-01,2374011.0,2725395.0831099804,,
1992-12-01,3043797.8,2724911.9759564847,,
1992-12-31,,,2793204.2,2718196.9722689055
1993-01-01,4353577.5,2724428.8688029908,,
1993-02-01,4432448.0,2723945.761649497,,
1993-03-01,3514387.0,2723462.654496001,,
1993-04-01,2922390.0,2722979.547342507,,
1993-05-01,2212305.0,2722496.4401890133,,
1993-06-01,1992968.5,2722013.3330355175,,
1993-07-01,1523966.2,2721530.2258820236,,
1993-08-01,1957982.8,2721047.1187285297,,
1993-09-01,1990628.0,2720564.011575034,,
1993-10-01,1531453.2,2720080.90442154,,
1993-11-01,3138629.0,2719597.797268046,,
1993-12-01,2988486.0,2719114.6901145503,,
1993-12-31,,,2713268.5,2712988.0338235274
1994-01-01,2937424.0,2718631.5829610564,,
1994-02-01,3090033.0,2718148.4758075625,,
1994-03-01,3720863.0,2717665.3686540667,,
1994-04-01,2966552.5,2717182.261500573,,
1994-05-01,2253180.2,2716699.154347079,,
1994-06-01,2646040.0,2716216.047193583,,
1994-07-01,2688844.2,2715732.940040089,,
1994-08-01,2202632.8,2715249.8328865953,,
1994-09-01,2187608.0,2714766.7257331014,,
1994-10-01,2766397.0,2714283.6185796056,,
1994-11-01,2525550.0,2713800.5114261117,,
1994-12-01,4288160.5,2713317.404272618,,
1994-12-31,,,2856107.0,2707779.0953781493
1995-01-01,4250061.0,2712834.297119122,,
1995-02-01,3886685.5,2712351.189965628,,
1995-03-01,3644519.0,2711868.082812134,,
1995-04-01,3350973.8,2711384.9756586384,,
1995-05-01,2631663.2,2710901.8685051445,,
1995-06-01,2522284.5,2710418.7613516506,,
1995-07-01,2940273.8,2709935.654198155,,
1995-08-01,2773149.5,2709452.547044661,,
1995-09-01,3116763.5,2708969.439891167,,
1995-10-01,2766049.8,2708486.332737673,,
1995-11-01,2301620.8,2708003.2255841773,,
1995-12-01,2703960.5,2707520.1184306834,,
1995-12-31,,,3074000.8,2702570.156932771
1996-01-01,3576305.8,2707037.0112771895,,
1996-02-01,2880069.5,2706553.9041236937,,
1996-03-01,3304033.5,2706070.7969702,,
1996-04-01,2617165.0,2705587.689816706,,
1996-05-01,2247591.5,2705104.58266321,,
1996-06-01,2478042.5,2704621.475509716,,
1996-07-01,2108468.2,2704138.3683562223,,
1996-08-01,2558853.5,2703655.2612027265,,
1996-09-01,2865757.8,2703172.1540492326,,
1996-10-01,3498840.5,2702689.0468957387,,
1996-11-01,4089620.0,2702205.939742245,,
1996-12-01,2388873.8,2701722.832588749,,
1996-12-31,,,2884468.2,2697361.218487393
1997-01-01,3289014.2,2701239.725435255,,
1997-02-01,3188051.2,2700756.618281761,,
1997-03-01,3622886.5,2700273.5111282654,,
1997-04-01,2573743.0,2699790.4039747715,,
1997-05-01,2400454.5,2699307.2968212776,,
1997-06-01,2290592.0,2698824.189667782,,
1997-07-01,1865057.8,2698341.082514288,,
1997-08-01,2490550.0,2697857.975360794,,
1997-09-01,2958010.0,2697374.868207298,,
1997-10-01,2473540.0,2696891.7610538043,,
1997-11-01,2449242.0,2696408.6539003104,,
1997-12-01,2847076.2,2695925.5467468146,,
1997-12-31,,,2704018.0,2692152.280042015
1998-01-01,2482594.0,2695442.4395933207,,
1998-02-01,2133145.8,2694959.332439827,,
1998-03-01,2998377.0,2694476.225286331,,
1998-04-01,2068241.2,2693993.118132837,,
1998-05-01,2503783.0,2693510.010979343,,
1998-06-01,1756874.2,2693026.9038258474,,
1998-07-01,1898815.8,2692543.7966723535,,
1998-08-01,1956225.0,2692060.6895188596,,
1998-09-01,1732994.9,2691577.582365364,,
1998-10-01,1922028.5,2691094.47521187,,
1998-11-01,2553388.2,2690611.368058376,,
1998-12-01,3483511.0,2690128.2609048802,,
1998-12-31,,,2290831.2,2686943.341596637
1999-01-01,2933329.0,2689645.1537513863,,
1999-02-01,3019127.0,2689162.0465978924,,
1999-03-01,2866941.0,2688678.9394443966,,
1999-04-01,2680843.5,2688195.8322909027,,
1999-05-01,2143280.0,2687712.725137409,,
1999-06-01,2518935.5,2687229.617983913,,
1999-07-01,2375197.0,2686746.510830419,,
