time,monthly_diff,monthly_trend,annual_mean,annual_trend
1991-01-01,-3460616.8,-2633480.970095694,,
1991-02-01,-2874446.0,-2632693.1932549663,,
1991-03-01,-2841305.8,-2631905.4164142385,,
1991-04-01,-2881877.0,-2631117.6395735107,,
1991-05-01,-2823085.5,-2630329.862732783,,
1991-06-01,-2753592.0,-2629542.0858920515,,
1991-07-01,-2519979.0,-2628754.3090513237,,
1991-08-01,-1889650.8,-2627966.532210596,,
1991-09-01,-1543114.8,-2627178.755369868,,
1991-10-01,-1483563.5,-2626390.9785291404,,
1991-11-01,-1769256.8,-2625603.2016884126,,
1991-12-01,-2416344.0,-2624815.424847681,,
1991-12-31,,,-2438069.2,-2625336.1684523784
1992-01-01,-3696358.8,-2624027.6480069533,,
1992-02-01,-1570497.0,-2623239.8711662255,,
1992-03-01,-2840800.2,-2622452.0943254977,,
1992-04-01,-1557398.5,-2621664.31748477,,
1992-05-01,-2610383.8,-2620876.540644042,,
1992-06-01,-2940624.8,-2620088.7638033107,,
1992-07-01,-2813951.0,-2619300.986962583,,
1992-08-01,-1673302.2,-2618513.210121855,,
1992-09-01,-1735775.2,-2617725.4332811274,,
1992-10-01,-1819096.1,-2616937.6564403996,,
1992-11-01,-1513233.8,-2616149.879599672,,
1992-12-01,-2683192.5,-2615362.1027589403,,
1992-12-31,,,-2287884.5,-2616082.570098035
1993-01-01,-3357753.2,-2614574.3259182125,,
1993-02-01,-3881862.5,-2613786.5490774848,,
1993-03-01,-2163412.2,-2612998.772236757,,
1993-04-01,-2079297.4,-2612210.995396029,,
1993-05-01,-2196575.0,-2611423.2185553014,,
1993-06-01,-2084307.0,-2610635.44171457,,
1993-07-01,-1841075.2,-2609847.664873842,,
1993-08-01,-1641984.8,-2609059.8880331144,,
1993-09-01,-1496127.0,-2608272.1111923866,,
1993-10-01,-1666766.9,-2607484.334351659,,
1993-11-01,-2450838.0,-2606696.557510931,,
1993-12-01,-3568444.5,-2605908.7806701995,,
1993-12-31,,,-2369037.0,-2606828.9717436954
1994-01-01,-3471192.8,-2605121.0038294718,,
1994-02-01,-2295093.0,-2604333.226988744,,
1994-03-01,-2526936.5,-2603545.450148016,,
1994-04-01,-2572374.0,-2602757.6733072884,,
1994-05-01,-2165641.5,-2601969.8964665607,,
1994-06-01,-2947809.5,-2601182.119625829,,
1994-07-01,-3339504.0,-2600394.3427851014,,
1994-08-01,-2268572.2,-2599606.5659443736,,
1994-09-01,-1278600.0,-2598818.789103646,,
1994-10-01,-2148860.0,-2598031.012262918,,
1994-11-01,-2030228.2,-2597243.2354221903,,
1994-12-01,-3858876.8,-2596455.458581459,,
1994-12-31,,,-2575307.2,-2597575.373389352
1995-01-01,-3681956.0,-2595667.681740731,,
1995-02-01,-3358917.2,-2594879.904900003,,
1995-03-01,-2730398.0,-2594092.1280592754,,
1995-04-01,-2920241.0,-2593304.3512185477,,
1995-05-01,-2261445.0,-2592516.57437782,,
1995-06-01,-2849863.2,-2591728.7975370884,,
1995-07-01,-3506461.0,-2590941.0206963606,,
1995-08-01,-2553776.0,-2590153.243855633,,
1995-09-01,-2559797.8,-2589365.467014905,,
1995-10-01,-2450761.8,-2588577.6901741773,,
1995-11-01,-2156926.5,-2587789.9133334495,,
1995-12-01,-1975199.5,-2587002.136492718,,
1995-12-31,,,-2750478.5,-2588321.775035009
1996-01-01,-3036697.2,-2586214.3596519902,,
1996-02-01,-2204011.0,-2585426.5828112625,,
1996-03-01,-2547273.5,-2584638.8059705347,,
1996-04-01,-2027840.9,-2583851.029129807,,
1996-05-01,-1977484.0,-2583063.252289079,,
1996-06-01,-2962934.2,-2582275.4754483476,,
1996-07-01,-2463460.5,-2581487.69860762,,
1996-08-01,-2390413.0,-2580699.921766892,,
1996-09-01,-2289848.2,-2579912.1449261643,,
1996-10-01,-3580226.8,-2579124.3680854365,,
1996-11-01,-3909402.2,-2578336.5912447087,,
1996-12-01,-2519253.2,-2577548.8144039772,,
1996-12-31,,,-2659070.2,-2579068.176680669
1997-01-01,-3335608.5,-2576761.0375632495,,
1997-02-01,-2868742.5,-2575973.2607225217,,
1997-03-01,-3260540.8,-2575185.483881794,,
1997-04-01,-1959133.9,-2574397.707041066,,
1997-05-01,-2366006.5,-2573609.9302003384,,
1997-06-01,-2972537.0,-2572822.153359607,,
1997-07-01,-2604076.2,-2572034.376518879,,
1997-08-01,-2797165.8,-2571246.599678155,,
1997-09-01,-2718685.0,-2570458.8228374235,,
1997-10-01,-2837438.0,-2569671.0459966958,,
1997-11-01,-2711622.5,-2568883.269155968,,
1997-12-01,-2685384.5,-2568095.4923152365,,
1997-12-31,,,-2759745.0,-2569814.578326326
1998-01-01,-2748839.0,-2567307.7154745124,,
1998-02-01,-2702934.0,-2566519.9386337847,,
1998-03-01,-2755568.2,-2565732.161793053,,
1998-04-01,-1948700.2,-2564944.3849523254,,
1998-05-01,-2747075.5,-2564156.6081115976,,
1998-06-01,-2909210.0,-2563368.83127087,,
1998-07-01,-3377837.0,-2562581.054430142,,
1998-08-01,-2415691.5,-2561793.2775894143,,
1998-09-01,-2228275.8,-2561005.5007486828,,
1998-10-01,-2960392.5,-2560217.723907955,,
1998-11-01,-2999045.5,-2559429.947067227,,
1998-12-01,-3637906.0,-2558642.1702264994,,
1998-12-31,,,-2785956.2,-2560560.9799719863
1999-01-01,-3227438.2,-2557854.3933857717,,
1999-02-01,-3423474.5,-2557066.616545044,,
1999-03-01,-2871884.2,-2556278.8397043124,,
1999-04-01,-2557257.0,-2555491.0628635846,,
1999-05-01,-2198180.5,-2554703.286022857,,
1999-06-01,-3186490.2,-2553915.509182129,,
1999-07-01,-3485027.0,-2553127.7323414013,,
1999-08-01,-2521017.8,-2552339.9555006735,,
1999-09-01,-2976502.5,-2551552.178659942,,
1999-10-01,-2172130.0,-2550764.401819214,,
1999-11-01,-4031339.0,-2549976.6249784864,,
1999-12-01,-2915827.5,-2549188.8481377587,,
1999-12-31,,,-2963880.8,-2551307.381617643
2000-01-01,-4267904.5,-2548401.071297031,,
2000-02-01,-2939421.2,-2547613.294456303,,
2000-03-01,-3211432.0,-2546825.5176155716,,
2000-04-01,-2192288.0,-2546037.740774844,,
2000-05-01,-2466992.0,-2545249.963934116,,
2000-06-01,-2750333.2,-2544462.1870933883,,
2000-07-01,-2687944.0,-2543674.4102526605,,
